R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Jacob Kilburn,Austin Lingo,180,-230,180,43.47826087,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Featherweight,MALE,3,1,0,0,0.8,0.19,0,1,1,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,2,0,0,0.77,0.55,0,0,0,0,2,4,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,145,25,26,-1,0,0,0,-1,-1,0,0,0,2.54,-5.08,1,0.03,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Thompson,Geoff Neal,-103,-117,97.08737864,85.47008547,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,5,1,0,0,4.94,0.49,0.2,0.5,0.5,6,1,1,0,0,0,0,0,0,0,6,Southpaw,180.34,190.5,170,0,2,1,4.24,0.43,0,0.32,0.45,7,4,5,2,0,0,0,0,0,0,11,Orthodox,182.88,190.5,170,37,30,1,-2,-1,-5,-3,-4,-2,0,0,-2.54,0,-7,0.7,0.2,0.18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Aldo,Marlon Vera,-140,120,71.42857143,120,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,3.65,0.49,1.1,0.78,0.37,5,6,0,0,0,0,0,0,0,0,10,Switch,172.72,177.8,135,0,1,0,3.45,0.45,0.1,0.57,0.56,15,6,3,12,0,0,0,0,0,0,19,Orthodox,170.18,177.8,135,34,28,1,-1,-10,-9,0,-3,-12,0,0,2.54,0,-6,0.2,1,0.21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Pereira,Khaos Williams,105,-125,105,80,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,1,0,0,4.39,0.45,0,0,0,2,1,0,0,0,0,0,0,0,0,2,Orthodox,182.88,195.58,170,0,2,0,3.74,0.54,0.5,1.76,0.7,2,2,0,0,0,0,0,0,0,0,3,Orthodox,185.42,185.42,170,27,26,1,-2,0,-1,-1,0,0,0,0,-2.54,10.16,-1,0.65,-0.5,-1.76,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Moraes,Rob Font,-170,150,58.82352941,150,12/19/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,2,0,0,3.38,0.39,0.4,1,0.41,4,4,2,1,0,0,0,0,0,0,5,Orthodox,167.64,170.18,135,0,3,0,5.21,0.42,0.8,1.2,0.36,3,3,0,0,0,0,0,0,0,0,8,Orthodox,172.72,180.34,135,33,32,2,-3,1,-3,1,2,1,0,0,-5.08,-10.16,-1,-1.83,-0.4,-0.2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Tybura,Greg Hardy,-110,-110,90.90909091,90.90909091,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,1,0,0,4.83,0.5,0,0.21,0.33,2,3,0,0,0,0,0,0,0,0,6,Orthodox,195.58,203.2,265,0,4,0,3.7,0.5,0.1,1.62,0.45,4,5,4,0,0,0,0,0,0,0,8,Orthodox,190.5,198.12,249,35,32,1,-4,-2,-2,-2,-4,0,0,0,5.08,5.08,-3,1.13,-0.1,-1.41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Pettis,Alex Morono,-210,175,47.61904762,175,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,1,0,0,4.96,0.42,0.4,0.44,0.28,3,4,2,0,0,0,0,0,0,0,7,Orthodox,180.34,182.88,170,0,2,0,3.05,0.47,1.1,0.61,0.5,5,10,2,4,0,0,0,0,0,0,16,Orthodox,177.8,182.88,155,33,30,1,-2,-2,-9,-6,0,-4,0,0,2.54,0,-3,1.91,-0.7,-0.17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sijara Eubanks,Pannie Kianzad,-140,120,71.42857143,120,12/19/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,2,0,0,4.52,0.43,0.4,1.88,0.46,2,4,0,0,0,0,0,0,0,0,4,Orthodox,162.56,170.18,135,0,3,0,5.14,0.49,0.2,0.22,0.14,3,2,2,0,0,0,0,0,0,0,3,Orthodox,170.18,167.64,135,29,35,2,-3,-1,1,2,-2,0,0,0,-7.62,2.54,6,-0.62,0.2,1.66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deron Winn,Antonio Arroyo,160,-185,160,54.05405405,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Catch Weight,MALE,3,2,0,0,3.08,0.7,0.3,1.4,0.41,2,2,0,0,0,0,0,0,0,0,2,Orthodox,190.5,185.42,185,0,1,0,4.74,0.47,0,4.98,0.52,1,2,1,0,0,0,0,0,0,0,2,Orthodox,167.64,177.8,185,31,31,2,-1,1,0,0,-1,0,0,0,22.86,7.62,0,-1.66,0.3,-3.58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillian Robertson,Taila Santos,-145,125,68.96551724,125,12/19/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,2.05,0.51,0.9,2.64,0.46,2,3,0,0,0,0,0,0,0,0,6,Orthodox,165.1,160.02,125,0,2,0,3.52,0.48,1,2,0.8,2,1,0,0,0,0,0,0,0,0,3,Orthodox,167.64,172.72,125,27,25,1,-2,0,3,2,0,0,0,0,-2.54,-12.7,-2,-1.47,-0.1,0.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tafon Nchukwi,Jamie Pickett,-335,275,29.85074627,275,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,1,0,0,2.84,0.55,0.4,1.48,0.4,1,3,0,0,0,0,0,0,0,0,1,Orthodox,187.96,203.2,185,0,2,0,7.59,0.55,0,0,0,2,0,0,0,0,0,0,0,0,0,2,Orthodox,182.88,195.58,205,26,32,1,-2,-1,-1,3,0,0,0,0,5.08,7.62,6,-4.75,0.4,1.48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Flick,Cody Durden,-157,137,63.69426752,137,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,3,1,0,1,3.11,0.48,0.8,3.28,0.26,0,1,0,0,0,0,0,0,0,0,0,Southpaw,170.18,170.18,125,0,2,0,1.99,0.58,7.2,1.81,0.5,2,0,0,0,0,0,0,0,0,0,2,Orthodox,170.18,172.72,125,30,29,1,-2,-2,-2,1,0,0,0,0,0,-2.54,-1,1.12,-6.4,1.47,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christos Giagos,Carlton Minus,-345,285,28.98550725,285,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Catch Weight,MALE,3,2,0,0,3.5,0.4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,Orthodox,177.8,190.5,170,0,1,0,2.88,0.41,0.3,3.11,0.39,2,4,0,0,0,0,0,0,0,0,4,Orthodox,177.8,180.34,155,30,27,2,-1,-2,-4,-2,1,0,0,0,0,10.16,-3,0.62,-0.3,-3.11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Ferguson,Charles Oliveira,-185,160,54.05405405,160,12/12/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,2,0,0,5.46,0.45,1.1,0.45,0.42,12,3,4,2,0,0,0,0,0,0,15,Orthodox,180.34,193.04,155,0,8,0,3.22,0.52,2.8,2.64,0.44,8,8,2,0,0,0,0,0,0,0,18,Orthodox,177.8,187.96,155,31,36,2,-8,4,-3,-5,2,2,0,0,2.54,5.08,5,2.24,-1.7,-2.19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie Dern,Virna Jandiroba,-160,140,62.5,140,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,2.39,0.46,2,3.16,0.53,2,2,0,0,0,0,0,0,0,0,2,Orthodox,160.02,162.56,115,0,3,0,3.74,0.38,2.2,0.28,0.05,3,1,1,0,0,0,0,0,0,0,5,Orthodox,162.56,160.02,115,27,32,1,-3,-1,-3,1,-1,0,0,0,-2.54,2.54,5,-1.35,-0.2,2.88,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Holland,Jacare Souza,-135,115,74.07407407,115,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,3,0,0,2.53,0.46,1.4,2.55,0.39,8,8,3,0,0,0,0,0,0,0,19,Orthodox,185.42,182.88,185,0,5,0,4.74,0.57,0.8,1.19,0.42,5,2,0,0,0,0,0,0,0,0,9,Orthodox,190.5,205.74,185,28,41,3,-5,3,10,6,3,0,0,0,-5.08,-22.86,13,-2.21,0.6,1.36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Dos Santos,Ciryl Gane,325,-400,325,25,12/12/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,4,0,0,4.49,0.47,0.1,0.3,0.5,9,8,6,5,0,0,0,0,0,0,15,Orthodox,193.04,195.58,238,0,4,0,5.61,0.54,0.7,1.08,0.6,4,0,0,0,0,0,0,0,0,0,4,Orthodox,193.04,205.74,245,30,36,4,-4,5,11,8,6,5,0,0,0,-10.16,6,-1.12,-0.6,-0.78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cub Swanson,Daniel Pineda,132,-152,132,65.78947368,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,1,0,0,3.41,0.49,1.8,1.55,0.29,2,5,1,0,0,0,0,0,0,0,4,Orthodox,170.18,175.26,145,0,2,0,4.64,0.5,0.5,1.09,0.51,6,10,2,0,0,0,0,0,0,0,17,Orthodox,172.72,177.8,145,37,35,1,-2,-4,-13,-5,-1,0,0,0,-2.54,-2.54,-2,-1.23,1.3,0.46,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato Moicano,Rafael Fiziev,120,-140,120,71.42857143,12/12/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,5.4,0.46,0.6,1.28,0.53,3,4,1,0,0,0,0,0,0,0,6,Orthodox,180.34,182.88,155,0,3,0,4.67,0.57,0,0.84,0.5,3,1,1,0,0,0,0,0,0,0,3,Switch,172.72,180.34,155,27,31,1,-3,0,3,3,0,0,0,0,7.62,2.54,4,0.73,0.6,0.44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Tucker,Billy Quarantillo,165,-190,165,52.63157895,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,1,0,0,7.03,0.64,1.8,1.28,0.31,4,1,0,0,0,0,0,0,0,0,4,Orthodox,177.8,177.8,145,0,3,0,4.4,0.45,1.5,3,0.42,3,1,2,0,0,0,0,0,0,0,4,Southpaw,167.64,167.64,145,34,32,1,-3,1,0,0,-2,0,0,0,10.16,10.16,-2,2.63,0.3,-1.72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tecia Torres,Sam Hughes,-550,425,18.18181818,425,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,4,0.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,115,0,2,0,4.3,0.47,0.1,0.68,0.15,3,5,0,0,0,0,0,0,0,0,8,Orthodox,154.94,152.4,115,31,28,1,-2,-3,-8,-4,0,0,0,0,10.16,10.16,-3,-0.3,-0.1,-0.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Hooper,Peter Barrett,-310,255,32.25806452,255,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,2,0,0,4.18,0.61,0,1.39,0.22,1,2,1,0,0,0,0,0,0,0,1,Southpaw,177.8,185.42,145,0,1,0,4.43,0.45,2.2,0.32,0.07,2,1,2,0,0,0,0,0,0,0,3,Southpaw,185.42,187.96,145,21,34,2,-1,-1,-2,1,-1,0,0,0,-7.62,-2.54,13,-0.25,-2.2,1.07,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hermansson,Marvin Vettori,110,-134,110,74.62686567,12/05/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,5,0,3,1,4.33,0.43,0.9,1.67,0.47,3,2,20,0,0,0,3,0,2,0,5,Southpaw,182.88,187.96,185,0,1,0,5.08,0.48,0.9,2.19,0.35,4,3,21,0,0,0,2,3,3,0,8,Orthodox,185.42,195.58,185,32,27,0,2,-1,-3,-1,-1,0,-3,-1,-2.54,-7.62,-5,-0.75,0,-0.52,1,1,13,4,,,,,,,4,,,,,,,,,,,,,13,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovince Saint Preux,Jamahal Hill,140,-177,140,56.49717514,12/05/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Light Heavyweight,MALE,3,0,2,0,7.9,0.52,0,0,0,2,0,6,0,0,0,1,1,0,0,2,Southpaw,193.04,200.66,205,0,1,0,2.64,0.46,0.6,1.23,0.4,5,10,67,1,1,0,4,9,5,0,19,Southpaw,190.5,203.2,205,37,29,0,1,-3,-17,-10,-61,-1,-8,-5,2.54,-2.54,-8,5.26,-0.6,-1.23,1,1,,15,,,,,,15,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Benitez,Justin Jaynes,-215,170,46.51162791,170,12/05/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,1,0,0,4.6,0.43,1.2,0,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,155,2,0,0,4.14,0.38,1.2,0.18,0.5,2,4,20,0,0,0,2,1,2,0,5,Southpaw,172.72,180.34,155,32,31,-1,0,-1,-4,-3,-16,0,0,-2,-2.54,-7.62,-1,0.46,0,-0.18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Dolidze,John Allan,-200,160,50,160,12/05/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,3.59,0.48,1.9,2.54,0.66,0,1,5,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,205,0,1,0,4.47,0.86,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,205,32,27,1,-1,-1,-1,1,4,0,-1,0,-2.54,-2.54,-5,-0.88,1.9,2.54,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Smolka,Jose Quinonez,-139,112,71.94244604,112,12/05/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,3.41,0.46,0.7,2.58,0.45,4,3,19,0,0,0,4,0,1,0,5,Southpaw,172.72,175.26,135,1,0,0,4.25,0.46,2,1.61,0.34,4,7,31,0,0,0,2,3,2,0,7,Orthodox,175.26,172.72,135,29,30,0,0,0,-2,-4,-12,0,-3,-1,-2.54,2.54,1,-0.84,-1.3,0.97,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Wiman,Jordan Leavitt,310,-420,310,23.80952381,12/05/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,1,0,0.94,0.5,3.5,3.53,1,1,0,1,0,0,0,0,0,1,0,1,Southpaw,175.26,180.34,155,2,0,0,3.18,0.5,1.5,2.14,0.37,4,7,39,0,0,0,5,2,3,0,10,Orthodox,177.8,172.72,155,37,25,-2,1,-3,-9,-7,-38,0,-2,-2,-2.54,7.62,-12,-2.24,2,1.39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Topuria,Damon Jackson,-275,210,36.36363636,210,12/05/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,1,1,2.2,0.36,2.9,1.22,0.2,1,1,9,0,0,0,0,0,1,0,1,Switch,180.34,180.34,145,0,1,0,0.87,0.39,5,5,0.55,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,145,23,32,0,0,0,0,1,6,0,0,1,10.16,5.08,9,1.33,-2.1,-3.78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gian Villante,Jake Collier,-200,160,50,160,12/05/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,1,0,0,4.15,0.39,0.5,0.71,0.23,1,4,15,0,0,1,1,1,0,0,3,Orthodox,190.5,198.12,230,2,0,0,4.32,0.44,0,0.49,0.23,3,11,52,0,0,3,2,5,0,0,10,Orthodox,190.5,193.04,230,35,32,-1,0,-2,-7,-7,-37,0,-4,0,0,5.08,-3,-0.17,0.5,0.22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Smith,Devin Clark,-139,115,71.94244604,115,11/28/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,5,0,2,0,3.4,0.57,0.1,2.76,0.36,2,4,24,0,0,0,6,0,0,0,6,Orthodox,182.88,190.5,205,2,0,0,2.97,0.46,0.7,0.41,0.25,3,8,45,1,0,0,1,6,3,0,10,Orthodox,193.04,193.04,205,32,30,-2,2,-1,-4,-4,-21,-1,-6,-3,-10.16,-2.54,-2,0.43,-0.6,2.35,1,1,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Baeza,Takashi Sato,-175,140,57.14285714,140,11/28/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,1,0,3.94,0.41,0,0.79,0.5,1,1,6,0,0,0,0,2,0,0,2,Southpaw,177.8,185.42,170,0,3,0,4.78,0.56,1.1,0.54,0.33,3,0,7,0,0,0,1,2,0,0,3,Orthodox,187.96,187.96,170,28,30,0,-2,-2,-1,1,-1,0,0,0,-10.16,-2.54,2,-0.84,-1.1,0.25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Parisian,Parker Porter,-200,160,50,160,11/28/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,1,0,0,6.82,0.43,1.2,1.22,1,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,265,0,2,0,7.07,0.55,2.9,0,0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,193.04,200.66,265,31,35,1,-2,-2,-2,1,-1,0,-2,0,-10.16,-10.16,4,-0.25,-1.7,1.22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike Carlyle,Bill Algeo,-177,140,56.49717514,140,11/28/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,2,0,0,7.87,0.53,0,0.5,0.33,0,2,6,0,0,0,0,0,0,0,0,Switch,182.88,185.42,145,1,0,0,3.47,0.6,0,2.74,0.5,1,1,4,0,0,0,0,1,0,0,1,Switch,172.72,180.34,145,27,31,1,0,-1,-1,1,2,0,-1,0,10.16,5.08,4,4.4,0,-2.24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashlee Evans-Smith,Norma Dumont,-137,110,72.99270073,110,11/28/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,1,0,0,1.42,0.31,0,4.27,0.33,0,1,1,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,1,0,0,4.86,0.35,0,1.3,0.25,2,4,17,0,0,1,1,1,0,0,3,Orthodox,172.72,170.18,135,33,30,0,0,-2,-3,-3,-16,0,-1,0,-2.54,0,-3,-3.44,0,2.97,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Pearce,Kai Kamaka,245,-335,245,29.85074627,11/28/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,1,0,7.6,0.61,0,5,1,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,145,1,0,0,11.21,0.57,0,4.48,0.5,1,1,4,0,0,0,0,1,0,0,1,Switch,182.88,180.34,145,28,25,-1,1,0,0,-1,-1,0,-1,0,-12.7,-5.08,-3,-3.61,0,0.52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Day,Anderson Dos Santos,-167,135,59.88023952,135,11/28/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,2,0,0,2.7,0.26,0.5,1,0.2,0,2,6,0,0,0,0,0,0,0,0,Orthodox,165.1,177.8,135,3,0,0,5.39,0.45,0.7,0.7,0.5,0,3,9,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,135,32,35,-1,0,0,0,-1,-3,0,0,0,-12.7,-7.62,3,-2.69,-0.2,0.3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gina Mazany,Rachael Ostovich,-200,160,50,160,11/28/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,2,0,0,2.32,0.43,1.3,3.28,1,1,2,6,0,0,0,0,0,1,0,1,Orthodox,160.02,157.48,125,3,0,0,2.75,0.49,0,3.14,0.7,1,4,9,0,0,0,1,0,0,0,1,Southpaw,167.64,172.72,125,32,29,-1,0,0,0,-2,-3,0,0,1,-7.62,-15.24,-3,-0.43,1.3,0.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Su Mudaerji,Malcolm Gordon,-335,250,29.85074627,250,11/28/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,3,1,0,0,0.64,0.18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Switch,170.18,180.34,125,0,1,0,5.02,0.59,1.4,0.68,1,1,1,5,0,0,0,1,0,0,0,1,Southpaw,172.72,182.88,125,24,30,1,-1,-1,-1,0,-4,0,0,0,-2.54,-2.54,6,-4.38,-1.4,-0.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
